Link,cout,propriete
Corbas#35,770.0,costByTruck
Corbas#37,630.0,costByTruck
Corbas#38,186.0,costByTruck
Corbas#39,340.0,costByTruck
Corbas#40,897.0,costByTruck
Corbas#42,216.0,costByTruck
Corbas#44,,costByTruck
Corbas#45,481.0,costByTruck
Corbas#49,703.0,costByTruck
Corbas#51,517.0,costByTruck
Corbas#55,481.0,costByTruck
Corbas#57,,costByTruck
Corbas#59,633.0,costByTruck
Corbas#62,633.0,costByTruck
Corbas#67,498.50000000000006,costByTruck
Corbas#68,,costByTruck
Corbas#69,195.0,costByTruck
Corbas#72,691.5,costByTruck
Corbas#74,296.0,costByTruck
Corbas#77,,costByTruck
Corbas#79,,costByTruck
Corbas#82,763.0,costByTruck
Corbas#83,699.0,costByTruck
Corbas#84,,costByTruck
Corbas#85,788.0,costByTruck
Corbas#86,615.9999999999999,costByTruck
Corbas#89,,costByTruck
Corbas#91,558.0,costByTruck
Corbas#94,,costByTruck
Corbas#95,,costByTruck
Corbas#Amberieu,,costByTruck
Evian#1,301.5,costByTruck
Evian#3,396.0,costByTruck
Evian#10,591.15,costByTruck
Evian#13,718.8800000000001,costByTruck
Evian#14,989.0,costByTruck
Evian#16,894.0000000000001,costByTruck
Evian#17,929.0,costByTruck
Evian#18,547.95,costByTruck
Evian#19,875.0,costByTruck
Evian#21,413.0,costByTruck
Evian#22,1183.1999999999996,costByTruck
Evian#25,372.5,costByTruck
Evian#26,404.0,costByTruck
Evian#27,809.9,costByTruck
Evian#28,789.0,costByTruck
Evian#29,1320.0,costByTruck
Evian#30,657.6,costByTruck
Evian#31,999.3,costByTruck
Evian#33,986.6,costByTruck
Evian#34,731.6999999999997,costByTruck
Evian#35,1066.0000000000002,costByTruck
Evian#37,789.0,costByTruck
Evian#38,300.75000000000006,costByTruck
Evian#39,367.0,costByTruck
Evian#40,1107.4,costByTruck
Evian#42,308.1500000000001,costByTruck
Evian#44,933.8,costByTruck
Evian#45,633.1,costByTruck
Evian#49,854.2978979636522,costByTruck
Evian#51,582.6,costByTruck
Evian#54,508.4,costByTruck
Evian#55,557.594,costByTruck
Evian#56,1134.0,costByTruck
Evian#57,532.75,costByTruck
Evian#59,787.1999999999997,costByTruck
Evian#60,747.0,costByTruck
Evian#62,797.6999999999997,costByTruck
Evian#63,442.8,costByTruck
Evian#67,554.5,costByTruck
Evian#68,496.4,costByTruck
Evian#69,308.1500000000001,costByTruck
Evian#71,400.0,costByTruck
Evian#72,882.0000000000001,costByTruck
Evian#74,250.0,costByTruck
Evian#76,700.0,costByTruck
Evian#77,669.95,costByTruck
Evian#78,694.8000000000003,costByTruck
Evian#79,867.65,costByTruck
Evian#80,766.0,costByTruck
Evian#82,1026.5000000000002,costByTruck
Evian#83,914.4,costByTruck
Evian#84,636.9,costByTruck
Evian#85,990.0,costByTruck
Evian#86,797.0,costByTruck
Evian#87,752.0,costByTruck
Evian#89,552.8,costByTruck
Evian#91,665.8,costByTruck
Evian#92,668.0,costByTruck
Evian#93,676.0,costByTruck
Evian#94,663.4,costByTruck
Evian#95,683.9499999999998,costByTruck
Evian#Aigle,,costByTruck
Evian#Amberieu,308.15,costByTruck
Evian#Anvers,731.6500000000003,costByTruck
Evian#Bretigny,662.65,costByTruck
Evian#Corbas,318.80000000000007,costByTruck
Nan#Nan,,costByTruck
Nan#Nan,,costByTruck
Evian#Duisburg,749.4300000000003,costByTruck
Evian#Fos,662.5,costByTruck
Evian#Grisolles,1027.0,costByTruck
Evian#Macon,380.6,costByTruck
Evian#Monteux,599.25,costByTruck
Evian#Ostende,761.7199999999997,costByTruck
Evian#Rennes,988.0,costByTruck
Evian#Rugby,1846.27,costByTruck
Evian#Santes,804.0,costByTruck
Evian#StQuentinChesnes,,costByTruck
Evian#Thionville,554.0,costByTruck
Evian#Vinay,363.85,costByTruck
Evian#Worms,601.3100000000002,costByTruck
Evian#Zeebrugge,760.9199999999997,costByTruck
Fos#13,221.0,costByTruck
Fos#16,910.0,costByTruck
Fos#30,281.0,costByTruck
Fos#31,520.0,costByTruck
Fos#33,,costByTruck
Fos#34,415.0,costByTruck
Fos#59,,costByTruck
Fos#68,,costByTruck
Fos#69,333.0,costByTruck
Fos#83,390.0,costByTruck
Fos#84,250.0,costByTruck
Fos#Amberieu,355.0,costByTruck
Fos#Anvers,790.0,costByTruck
Fos#Ostende,790.0,costByTruck
Grisolles#16,524.0,costByTruck
Grisolles#17,,costByTruck
Grisolles#19,265.0,costByTruck
Grisolles#31,197.5,costByTruck
Grisolles#33,315.0,costByTruck
Grisolles#34,355.0,costByTruck
Grisolles#40,300.0,costByTruck
Grisolles#79,522.0,costByTruck
Grisolles#82,105.0,costByTruck
Grisolles#85,530.0,costByTruck
Grisolles#86,480.0,costByTruck
Macon#1,220.0,costByTruck
Macon#3,297.0,costByTruck
Macon#10,398.0,costByTruck
Macon#13,612.25,costByTruck
Macon#14,793.0,costByTruck
Macon#16,620.0,costByTruck
Macon#17,,costByTruck
Macon#18,402.0,costByTruck
Macon#19,,costByTruck
Macon#22,900.0,costByTruck
Macon#25,270.0,costByTruck
Macon#26,395.0,costByTruck
Macon#27,650.0,costByTruck
Macon#28,,costByTruck
Macon#30,,costByTruck
Macon#31,780.0,costByTruck
Macon#33,784.0,costByTruck
Macon#34,580.0,costByTruck
Macon#35,840.0,costByTruck
Macon#37,554.0,costByTruck
Macon#38,279.0,costByTruck
Macon#39,,costByTruck
Macon#40,906.0,costByTruck
Macon#42,349.0,costByTruck
Macon#44,820.0,costByTruck
Macon#45,490.0,costByTruck
Macon#49,,costByTruck
